datetime,BollStatus,open,close,high,low,pos,pDown,pMiddle,pUp,dealOpen
2015-03-05 14:30:00+08:00,panzhen,42440.0,42500.0,42510.0,42430.0,0,42071,42603,43135,0
2015-03-05 21:00:00+08:00,panzhen,42420.0,42480.0,42540.0,42350.0,0,42067,42596,43124,0
2015-03-05 21:30:00+08:00,panzhen,42480.0,42590.0,42720.0,42460.0,0,42067,42590,43114,0
2015-03-05 22:00:00+08:00,panzhen,42590.0,42490.0,42600.0,42470.0,0,42069,42580,43092,0
2015-03-05 22:30:00+08:00,panzhen,42490.0,42530.0,42540.0,42430.0,0,42082,42569,43055,0
2015-03-05 23:00:00+08:00,panzhen,42530.0,42560.0,42610.0,42460.0,0,42103,42556,43010,0
2015-03-05 23:30:00+08:00,panzhen,42560.0,42220.0,42580.0,42190.0,0,42094,42542,42990,0
2015-03-06 00:00:00+08:00,panzhen,42530.0,42530.0,42570.0,42500.0,0,42102,42534,42966,0
2015-03-06 00:30:00+08:00,panzhen,42530.0,42530.0,42550.0,42500.0,0,42113,42525,42936,0
2015-03-06 09:00:00+08:00,panzhen,42430.0,42340.0,42470.0,42280.0,0,42128,42510,42893,0
2015-03-06 09:30:00+08:00,panzhen,42340.0,42360.0,42380.0,42320.0,0,42159,42494,42830,0
2015-03-06 10:00:00+08:00,panzhen,42370.0,42360.0,42380.0,42340.0,0,42173,42483,42793,0
2015-03-06 10:30:00+08:00,panzhen,42360.0,42410.0,42440.0,42350.0,0,42195,42471,42747,0
2015-03-06 11:00:00+08:00,panzhen,42410.0,42450.0,42470.0,42380.0,0,42197,42467,42738,0
2015-03-06 13:30:00+08:00,panzhen,42450.0,42390.0,42460.0,42370.0,0,42195,42463,42731,0
2015-03-06 14:00:00+08:00,kongtou,42390.0,42150.0,42400.0,42140.0,0,42175,42457,42738,0
2015-03-06 14:30:00+08:00,kongtou,42150.0,42200.0,42230.0,42070.0,0,42161,42451,42741,0
2015-03-06 21:00:00+08:00,kongtou,42250.0,42210.0,42320.0,42160.0,0,42148,42444,42740,0
2015-03-06 21:30:00+08:00,kongtou,42210.0,42080.0,42210.0,41910.0,0,42124,42435,42745,0
2015-03-06 22:00:00+08:00,kongtou,42080.0,41970.0,42090.0,41860.0,0,42091,42422,42754,0
2015-03-06 22:30:00+08:00,kongtou,41980.0,41890.0,42000.0,41860.0,0,42049,42410,42771,0
2015-03-06 23:00:00+08:00,kongtou,41890.0,41930.0,41960.0,41810.0,0,42016,42400,42785,0
2015-03-06 23:30:00+08:00,panzhen,41920.0,42520.0,42560.0,41890.0,0,42018,42403,42789,0
2015-03-07 00:00:00+08:00,kongtou,41930.0,41900.0,41940.0,41880.0,0,41983,42393,42802,0
2015-03-07 00:30:00+08:00,kongtou,41890.0,41920.0,41940.0,41870.0,0,41954,42384,42813,0
2015-03-07 23:55:00+08:00,kongtou,41940.0,41930.0,41950.0,41920.0,0,41928,42375,42823,0
2015-03-09 09:00:00+08:00,kongtou,41860.0,41930.0,41950.0,41680.0,0,41945,42352,42759,0
2015-03-09 09:30:00+08:00,kongtou,41930.0,41750.0,41960.0,41740.0,0,41905,42343,42781,0
2015-03-09 10:00:00+08:00,kongtou,41750.0,41780.0,41820.0,41730.0,0,41868,42332,42797,0
2015-03-09 10:30:00+08:00,kongtou,41800.0,41790.0,41840.0,41760.0,0,41834,42318,42803,0
2015-03-09 11:00:00+08:00,kongtou,41800.0,41780.0,41840.0,41770.0,0,41801,42304,42807,0
2015-03-09 13:30:00+08:00,kongtou,41790.0,42090.0,42130.0,41790.0,0,41793,42295,42798,0
2015-03-09 14:00:00+08:00,kongtou,42090.0,42290.0,42290.0,42060.0,0,41792,42292,42791,0
2015-03-09 14:30:00+08:00,panzhen,42280.0,42300.0,42340.0,42230.0,0,41791,42289,42786,0
2015-03-09 21:00:00+08:00,panzhen,42320.0,42580.0,42630.0,42220.0,0,41790,42290,42791,0
2015-03-09 21:30:00+08:00,panzhen,42580.0,42460.0,42590.0,42420.0,0,41790,42290,42790,0
2015-03-09 22:00:00+08:00,panzhen,42470.0,42640.0,42680.0,42450.0,0,41786,42294,42801,0
2015-03-09 22:30:00+08:00,panzhen,42650.0,42580.0,42660.0,42510.0,0,41784,42296,42808,0
2015-03-09 23:00:00+08:00,panzhen,42580.0,42700.0,42750.0,42550.0,0,41779,42301,42824,0
2015-03-09 23:30:00+08:00,panzhen,42700.0,42670.0,42740.0,42650.0,0,41775,42304,42833,0
2015-03-10 00:30:00+08:00,panzhen,42670.0,42700.0,42760.0,42660.0,0,41771,42311,42851,0
2015-03-10 09:00:00+08:00,panzhen,42680.0,42570.0,42690.0,42550.0,0,41771,42316,42860,0
2015-03-10 09:30:00+08:00,panzhen,42580.0,42600.0,42610.0,42510.0,0,41771,42321,42871,0
2015-03-10 10:00:00+08:00,panzhen,42600.0,42540.0,42600.0,42530.0,0,41774,42326,42879,0
2015-03-10 10:30:00+08:00,panzhen,42520.0,42560.0,42570.0,42420.0,0,41774,42331,42887,0
2015-03-10 11:00:00+08:00,panzhen,42560.0,42510.0,42560.0,42470.0,0,41774,42330,42887,0
2015-03-10 13:30:00+08:00,panzhen,42450.0,42340.0,42530.0,42330.0,0,41773,42328,42883,0
2015-03-10 14:00:00+08:00,panzhen,42330.0,42330.0,42410.0,42290.0,0,41772,42325,42879,0
2015-03-10 14:30:00+08:00,panzhen,42320.0,42230.0,42330.0,42220.0,0,41769,42319,42870,0
2015-03-10 21:00:00+08:00,panzhen,42060.0,42020.0,42130.0,41920.0,0,41756,42309,42862,0
2015-03-10 21:30:00+08:00,panzhen,42020.0,42090.0,42200.0,42020.0,0,41748,42302,42856,0
2015-03-10 22:00:00+08:00,panzhen,42090.0,42070.0,42160.0,42020.0,0,41738,42295,42851,0
2015-03-10 22:30:00+08:00,panzhen,42060.0,42120.0,42190.0,42040.0,0,41732,42287,42842,0
2015-03-10 23:00:00+08:00,panzhen,42110.0,42120.0,42180.0,42080.0,0,41726,42280,42835,0
2015-03-10 23:30:00+08:00,panzhen,42120.0,42680.0,42690.0,42080.0,0,41723,42282,42841,0
2015-03-11 00:00:00+08:00,panzhen,42100.0,42020.0,42110.0,42000.0,0,41713,42273,42833,0
2015-03-11 00:30:00+08:00,panzhen,42020.0,42090.0,42120.0,41950.0,0,41707,42265,42822,0
2015-03-11 09:00:00+08:00,panzhen,42040.0,42150.0,42250.0,41980.0,0,41704,42257,42809,0
2015-03-11 09:30:00+08:00,panzhen,42150.0,42150.0,42210.0,42130.0,0,41702,42255,42809,0
2015-03-11 10:00:00+08:00,panzhen,42160.0,42180.0,42200.0,42160.0,0,41700,42249,42797,0
2015-03-11 10:30:00+08:00,panzhen,42170.0,42180.0,42200.0,42120.0,0,41699,42242,42785,0
2015-03-11 11:00:00+08:00,panzhen,42190.0,42240.0,42320.0,42180.0,0,41698,42240,42782,0
2015-03-11 13:30:00+08:00,panzhen,42250.0,42090.0,42260.0,42080.0,0,41692,42235,42777,0
2015-03-11 14:00:00+08:00,panzhen,42080.0,42150.0,42200.0,42070.0,0,41689,42231,42773,0
2015-03-11 14:30:00+08:00,panzhen,42160.0,42080.0,42180.0,42060.0,0,41683,42224,42766,0
2015-03-11 21:00:00+08:00,panzhen,42040.0,42190.0,42230.0,41870.0,0,41682,42219,42757,0
2015-03-11 21:30:00+08:00,panzhen,42200.0,42140.0,42200.0,42090.0,0,41679,42215,42750,0
2015-03-11 22:00:00+08:00,panzhen,42140.0,41840.0,42140.0,41830.0,0,41663,42209,42754,0
2015-03-11 22:30:00+08:00,panzhen,41840.0,41930.0,41980.0,41810.0,0,41653,42203,42754,0
2015-03-11 23:00:00+08:00,panzhen,41930.0,41940.0,41950.0,41860.0,0,41643,42198,42754,0
2015-03-11 23:30:00+08:00,panzhen,41940.0,42100.0,42130.0,41910.0,0,41643,42199,42754,0
2015-03-12 00:00:00+08:00,panzhen,41980.0,41940.0,42070.0,41920.0,0,41642,42198,42754,0
2015-03-12 00:30:00+08:00,panzhen,41930.0,41850.0,41970.0,41820.0,0,41639,42197,42755,0
2015-03-12 09:00:00+08:00,panzhen,41830.0,41950.0,41990.0,41820.0,0,41640,42198,42755,0
2015-03-12 09:30:00+08:00,panzhen,41940.0,41960.0,41990.0,41910.0,0,41633,42187,42740,0
2015-03-12 10:00:00+08:00,panzhen,41960.0,41960.0,42030.0,41920.0,0,41636,42188,42739,0
2015-03-12 10:30:00+08:00,panzhen,41970.0,41990.0,42020.0,41960.0,0,41640,42189,42739,0
2015-03-12 11:00:00+08:00,panzhen,41990.0,41940.0,42020.0,41930.0,0,41641,42190,42738,0
2015-03-12 13:30:00+08:00,panzhen,41960.0,42130.0,42160.0,41960.0,0,41649,42193,42738,0
2015-03-12 14:00:00+08:00,panzhen,42130.0,42240.0,42280.0,42110.0,0,41673,42203,42733,0
2015-03-12 14:30:00+08:00,panzhen,42240.0,42560.0,42600.0,42220.0,0,41692,42218,42743,0
2015-03-12 21:00:00+08:00,duotou,42710.0,42680.0,42780.0,42630.0,0,41708,42235,42761,0
2015-03-12 21:30:00+08:00,duotou,42690.0,42670.0,42760.0,42660.0,0,41728,42252,42776,0
2015-03-12 22:00:00+08:00,duotou,42670.0,42570.0,42690.0,42540.0,0,41732,42261,42790,0
2015-03-12 22:30:00+08:00,duotou,42570.0,42440.0,42580.0,42400.0,0,41733,42264,42795,0
2015-03-12 23:00:00+08:00,duotou,42440.0,42480.0,42500.0,42420.0,0,41733,42268,42802,0
2015-03-12 23:30:00+08:00,panzhen,42470.0,41980.0,42490.0,41970.0,0,41723,42256,42789,0
2015-03-13 00:00:00+08:00,panzhen,42440.0,42520.0,42520.0,42440.0,0,41722,42257,42792,0
2015-03-13 00:30:00+08:00,panzhen,42520.0,42510.0,42530.0,42450.0,0,41726,42255,42784,0
2015-03-13 09:00:00+08:00,duotou,42510.0,42740.0,42830.0,42430.0,0,41719,42258,42796,0
2015-03-13 09:30:00+08:00,duotou,42750.0,42920.0,42960.0,42710.0,3.0,41707,42262,42817,1
2015-03-13 10:00:00+08:00,duotou,42930.0,42950.0,43000.0,42890.0,3.0,41691,42267,42843,1
2015-03-13 10:30:00+08:00,duotou,42930.0,42840.0,42940.0,42810.0,3.0,41685,42270,42855,1
2015-03-13 11:00:00+08:00,duotou,42840.0,42770.0,42840.0,42730.0,3.0,41678,42274,42870,1
2015-03-13 13:30:00+08:00,duotou,42760.0,42750.0,42880.0,42690.0,3.0,41673,42277,42880,1
2015-03-13 14:00:00+08:00,duotou,42740.0,42760.0,42820.0,42730.0,3.0,41667,42281,42895,1
2015-03-13 14:30:00+08:00,duotou,42760.0,42840.0,42850.0,42740.0,3.0,41658,42286,42915,1
2015-03-13 21:00:00+08:00,duotou,42700.0,42610.0,42750.0,42540.0,3.0,41657,42288,42920,1
2015-03-13 21:30:00+08:00,duotou,42610.0,42540.0,42630.0,42520.0,3.0,41657,42292,42927,1
2015-03-13 22:00:00+08:00,duotou,42530.0,42550.0,42560.0,42480.0,3.0,41657,42296,42935,1
2015-03-13 22:30:00+08:00,duotou,42550.0,42530.0,42580.0,42490.0,3.0,41660,42302,42944,1
2015-03-13 23:00:00+08:00,duotou,42530.0,42480.0,42530.0,42450.0,3.0,41672,42311,42950,1
2015-03-13 23:30:00+08:00,duotou,42490.0,42450.0,42590.0,42440.0,3.0,41681,42318,42955,1
2015-03-14 00:00:00+08:00,duotou,42600.0,42660.0,42720.0,42550.0,3.0,41690,42329,42969,1
2015-03-14 00:30:00+08:00,duotou,42670.0,42660.0,42720.0,42620.0,3.0,41696,42340,42983,1
2015-03-14 23:55:00+08:00,duotou,42550.0,42600.0,42600.0,42550.0,3.0,41705,42349,42993,1
2015-03-16 09:00:00+08:00,duotou,42620.0,42520.0,42620.0,42440.0,3.0,41707,42346,42985,1
2015-03-16 09:30:00+08:00,duotou,42520.0,42570.0,42590.0,42500.0,3.0,41721,42356,42992,1
2015-03-16 10:00:00+08:00,duotou,42570.0,42680.0,42690.0,42540.0,3.0,41731,42368,43005,1
2015-03-16 10:30:00+08:00,duotou,42670.0,42680.0,42810.0,42630.0,3.0,41738,42378,43018,1
2015-03-16 11:00:00+08:00,duotou,42680.0,42740.0,42780.0,42680.0,3.0,41745,42389,43033,1
2015-03-16 13:30:00+08:00,duotou,42740.0,42750.0,42800.0,42710.0,3.0,41752,42400,43049,1
2015-03-16 14:00:00+08:00,duotou,42750.0,42770.0,42800.0,42720.0,3.0,41758,42412,43065,1
2015-03-16 14:30:00+08:00,duotou,42770.0,42810.0,42850.0,42750.0,3.0,41762,42423,43083,1
2015-03-16 21:00:00+08:00,duotou,42600.0,42770.0,42800.0,42560.0,3.0,41775,42436,43096,1
2015-03-16 21:30:00+08:00,duotou,42770.0,42840.0,42950.0,42760.0,3.0,41784,42449,43114,1
2015-03-16 22:00:00+08:00,duotou,42840.0,42770.0,42890.0,42750.0,3.0,41800,42462,43125,1
2015-03-16 22:30:00+08:00,duotou,42760.0,42710.0,42780.0,42710.0,3.0,41811,42472,43134,1
2015-03-16 23:00:00+08:00,duotou,42710.0,42820.0,42850.0,42700.0,3.0,41824,42485,43147,1
2015-03-16 23:30:00+08:00,duotou,42810.0,42790.0,42860.0,42730.0,3.0,41862,42504,43145,1
