datetime,BollStatus,open,close,high,low,pos,pDown,pMiddle,pUp,dealOpen
2015-03-05 14:45:00+08:00,panzhen,42470.0,42500.0,42510.0,42440.0,0,42228,42426,42624,0
2015-03-05 21:00:00+08:00,panzhen,42420.0,42460.0,42500.0,42350.0,0,42228,42423,42618,0
2015-03-05 21:15:00+08:00,panzhen,42460.0,42480.0,42540.0,42430.0,0,42229,42425,42621,0
2015-03-05 21:30:00+08:00,duotou,42480.0,42650.0,42720.0,42460.0,0,42226,42437,42648,0
2015-03-05 21:45:00+08:00,duotou,42640.0,42590.0,42670.0,42570.0,0,42232,42447,42661,0
2015-03-05 22:00:00+08:00,duotou,42590.0,42550.0,42600.0,42500.0,0,42244,42456,42667,0
2015-03-05 22:15:00+08:00,duotou,42540.0,42490.0,42560.0,42470.0,0,42274,42466,42657,0
2015-03-05 22:30:00+08:00,panzhen,42490.0,42460.0,42500.0,42430.0,0,42285,42470,42655,0
2015-03-05 22:45:00+08:00,panzhen,42460.0,42530.0,42540.0,42440.0,0,42310,42480,42649,0
2015-03-05 23:00:00+08:00,panzhen,42530.0,42550.0,42590.0,42460.0,0,42347,42491,42636,0
2015-03-05 23:15:00+08:00,panzhen,42550.0,42560.0,42610.0,42550.0,0,42387,42503,42619,0
2015-03-05 23:30:00+08:00,panzhen,42560.0,42530.0,42580.0,42520.0,0,42414,42510,42606,0
2015-03-05 23:45:00+08:00,panzhen,42520.0,42220.0,42550.0,42190.0,0,42356,42501,42647,0
2015-03-06 00:00:00+08:00,panzhen,42530.0,42560.0,42570.0,42500.0,0,42356,42503,42650,0
2015-03-06 00:15:00+08:00,panzhen,42550.0,42530.0,42570.0,42510.0,0,42357,42504,42652,0
2015-03-06 00:30:00+08:00,panzhen,42530.0,42530.0,42550.0,42500.0,0,42360,42507,42653,0
2015-03-06 00:45:00+08:00,panzhen,42530.0,42530.0,42550.0,42510.0,0,42363,42509,42655,0
2015-03-06 09:00:00+08:00,kongtou,42430.0,42350.0,42470.0,42310.0,0,42345,42503,42661,0
2015-03-06 09:15:00+08:00,kongtou,42350.0,42340.0,42400.0,42280.0,0,42326,42495,42664,0
2015-03-06 09:30:00+08:00,kongtou,42340.0,42340.0,42380.0,42330.0,0,42309,42488,42667,0
2015-03-06 09:45:00+08:00,kongtou,42340.0,42360.0,42370.0,42320.0,0,42297,42481,42664,0
2015-03-06 10:00:00+08:00,kongtou,42370.0,42360.0,42380.0,42340.0,0,42286,42474,42663,0
2015-03-06 10:30:00+08:00,kongtou,42360.0,42370.0,42390.0,42350.0,0,42277,42470,42663,0
2015-03-06 10:45:00+08:00,kongtou,42380.0,42410.0,42440.0,42370.0,0,42273,42467,42661,0
2015-03-06 11:00:00+08:00,panzhen,42410.0,42450.0,42470.0,42380.0,0,42274,42468,42661,0
2015-03-06 11:15:00+08:00,panzhen,42450.0,42450.0,42460.0,42410.0,0,42273,42467,42661,0
2015-03-06 13:30:00+08:00,panzhen,42450.0,42440.0,42460.0,42390.0,0,42271,42465,42658,0
2015-03-06 13:45:00+08:00,panzhen,42440.0,42390.0,42450.0,42370.0,0,42266,42462,42658,0
2015-03-06 14:00:00+08:00,panzhen,42390.0,42340.0,42400.0,42320.0,0,42255,42456,42658,0
2015-03-06 14:15:00+08:00,kongtou,42340.0,42150.0,42360.0,42140.0,0,42219,42437,42656,0
2015-03-06 14:30:00+08:00,kongtou,42150.0,42090.0,42210.0,42070.0,0,42170,42418,42666,0
2015-03-06 14:45:00+08:00,kongtou,42090.0,42200.0,42230.0,42070.0,0,42149,42405,42660,0
2015-03-06 21:00:00+08:00,kongtou,42250.0,42190.0,42320.0,42160.0,0,42127,42393,42659,0
2015-03-06 21:15:00+08:00,kongtou,42190.0,42210.0,42290.0,42170.0,0,42110,42383,42657,0
2015-03-06 21:30:00+08:00,kongtou,42210.0,42020.0,42210.0,41910.0,0,42063,42364,42664,0
2015-03-06 21:45:00+08:00,kongtou,42020.0,42080.0,42120.0,42000.0,0,42035,42346,42656,0
2015-03-06 22:00:00+08:00,kongtou,42080.0,41980.0,42090.0,41930.0,0,41995,42323,42652,0
2015-03-06 22:15:00+08:00,kongtou,41970.0,41970.0,41990.0,41860.0,0,41957,42302,42646,0
2015-03-06 22:30:00+08:00,kongtou,41980.0,41970.0,42000.0,41930.0,0,41926,42292,42659,0
2015-03-06 22:45:00+08:00,kongtou,41980.0,41890.0,41990.0,41860.0,0,41885,42266,42648,0
2015-03-06 23:00:00+08:00,kongtou,41890.0,41840.0,41900.0,41830.0,0,41840,42240,42640,0
2015-03-06 23:15:00+08:00,kongtou,41840.0,41930.0,41960.0,41810.0,0,41817,42217,42617,0
2015-03-06 23:30:00+08:00,kongtou,41920.0,41920.0,41980.0,41890.0,0,41798,42193,42589,0
2015-03-06 23:45:00+08:00,panzhen,41920.0,42520.0,42560.0,41910.0,0,41789,42200,42611,0
2015-03-07 00:00:00+08:00,panzhen,41930.0,41920.0,41940.0,41880.0,0,41763,42184,42604,0
2015-03-07 00:15:00+08:00,panzhen,41920.0,41900.0,41920.0,41890.0,0,41737,42167,42596,0
2015-03-07 00:30:00+08:00,panzhen,41890.0,41890.0,41920.0,41870.0,0,41714,42149,42584,0
2015-03-07 00:45:00+08:00,panzhen,41890.0,41920.0,41940.0,41890.0,0,41697,42132,42567,0
2015-03-07 23:55:00+08:00,panzhen,41940.0,41930.0,41950.0,41920.0,0,41684,42115,42546,0
2015-03-09 09:00:00+08:00,kongtou,41860.0,41880.0,41880.0,41680.0,0,41671,42095,42518,0
2015-03-09 09:15:00+08:00,kongtou,41870.0,41930.0,41950.0,41840.0,0,41671,42075,42478,0
2015-03-09 09:30:00+08:00,kongtou,41930.0,41910.0,41960.0,41870.0,0,41675,42054,42432,0
2015-03-09 09:45:00+08:00,kongtou,41900.0,41750.0,41910.0,41740.0,0,41664,42027,42390,0
2015-03-09 10:00:00+08:00,kongtou,41750.0,41780.0,41820.0,41730.0,0,41659,42004,42348,0
2015-03-09 10:30:00+08:00,kongtou,41800.0,41780.0,41820.0,41760.0,0,41655,41982,42310,0
2015-03-09 10:45:00+08:00,kongtou,41770.0,41790.0,41840.0,41760.0,0,41640,41968,42297,0
2015-03-09 11:00:00+08:00,kongtou,41800.0,41820.0,41840.0,41790.0,0,41628,41958,42288,0
2015-03-09 11:15:00+08:00,kongtou,41810.0,41780.0,41830.0,41770.0,0,41620,41942,42264,0
2015-03-09 13:30:00+08:00,kongtou,41790.0,41930.0,41930.0,41790.0,0,41626,41932,42238,0
2015-03-09 13:45:00+08:00,panzhen,41920.0,42090.0,42130.0,41920.0,0,41634,41927,42220,0
2015-03-09 14:00:00+08:00,duotou,42090.0,42160.0,42230.0,42060.0,0,41628,41933,42237,0
2015-03-09 14:15:00+08:00,duotou,42160.0,42290.0,42290.0,42140.0,0,41611,41941,42270,0
2015-03-09 14:30:00+08:00,duotou,42280.0,42270.0,42340.0,42250.0,0,41599,41952,42305,0
2015-03-09 14:45:00+08:00,duotou,42260.0,42300.0,42330.0,42230.0,0,41587,41965,42342,0
2015-03-09 21:00:00+08:00,duotou,42320.0,42280.0,42340.0,42220.0,0,41580,41976,42373,0
2015-03-09 21:15:00+08:00,duotou,42280.0,42580.0,42630.0,42270.0,0,41546,42003,42460,0
2015-03-09 21:30:00+08:00,duotou,42580.0,42510.0,42590.0,42490.0,0,41537,42029,42520,0
2015-03-09 21:45:00+08:00,duotou,42500.0,42460.0,42550.0,42420.0,0,41532,42049,42566,0
2015-03-09 22:00:00+08:00,duotou,42470.0,42510.0,42540.0,42450.0,0,41529,42072,42615,0
2015-03-09 22:15:00+08:00,duotou,42520.0,42640.0,42680.0,42510.0,0,41516,42076,42637,0
2015-03-09 22:30:00+08:00,duotou,42650.0,42510.0,42660.0,42510.0,0,41519,42099,42679,0
2015-03-09 22:45:00+08:00,duotou,42510.0,42580.0,42590.0,42510.0,0,41522,42125,42728,0
2015-03-09 23:00:00+08:00,duotou,42580.0,42610.0,42640.0,42550.0,0,41530,42153,42776,0
2015-03-09 23:15:00+08:00,duotou,42610.0,42700.0,42750.0,42590.0,0,41533,42183,42832,0
2015-03-09 23:30:00+08:00,duotou,42700.0,42670.0,42740.0,42660.0,0,41544,42211,42879,0
2015-03-09 23:45:00+08:00,duotou,42670.0,42670.0,42690.0,42650.0,0,41566,42242,42918,0
2015-03-10 00:15:00+08:00,duotou,42670.0,42670.0,42680.0,42650.0,0,41587,42270,42953,0
2015-03-10 00:30:00+08:00,duotou,42670.0,42720.0,42760.0,42660.0,0,41613,42301,42990,0
2015-03-10 00:45:00+08:00,duotou,42720.0,42700.0,42750.0,42690.0,0,41670,42338,43006,0
