datetime,orderid,tradeid,direction,offset,price,volume,baoben
2013-04-15 11:10:00+08:06,33,33,Direction.SHORT,Offset.OPEN,3733.8,30.0,True
2013-05-15 11:20:00+08:06,36,36,Direction.SHORT,Offset.OPEN,3598.6,74.0,False
